name,price,image_url
MOJITO RED BULL,DT 20.000,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=1200&auto=format&fit=crop
Brioche Signature Pistache & Fraise,DT 21.000,https://images.unsplash.com/photo-1600431521340-491eca880813?q=80&w=1200&auto=format&fit=crop
Brioche Signature Nutella,DT 19.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Brioche Signature Speculoos,DT 20.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Crêpes Sucre / Miel,DT 10.000 - DT 12.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpes Nutella,DT 14.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpe Nutella Fraise,DT 16.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crepe Nutella Speculoos,DT 16.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Crêpe Nutella Banane,DT 16.000 - DT 19.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpes Nutella OREO,DT 16.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpes Nutella Amandes effilées,DT 16.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpe Caramel Beurre salée,DT 15.000 - DT 18.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Crêpes DUBAÏ,DT 19.000,https://images.unsplash.com/photo-1519676867240-f03562e64548?q=80&w=1200&auto=format&fit=crop
Le Cookie GLACÉE,DT 25.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Mango Riviera,DT 16.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Coco Passion Pampelonne,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pistache Impériale,DT 13.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Dubai Glacé,DT 24.000,https://images.unsplash.com/photo-1551024601-bec78aea704b?q=80&w=1200&auto=format&fit=crop
Citron d'Azur,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Le Cookie GLACÉE,DT 25.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Mango Riviera,DT 16.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Coco Passion Pampelonne,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Dubai Glacé,DT 24.000,https://images.unsplash.com/photo-1551024601-bec78aea704b?q=80&w=1200&auto=format&fit=crop
Rocher de la Côte d'Azur,DT 23.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
BRUNCH DIOR INSTAGRAMMABLE,DT 65.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
BRUNCH 2 PERSONNES,DT 55.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
LE COMPLET,DT 28.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Oeuf Bénédicte nature,DT 15.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Oeuf Bénédicte jambon,DT 18.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Oeuf Bénédicte Saumon,DT 23.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Oeuf Bénédicte Saumon Avocat,DT 27.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Tartine oeuf brouillée,DT 15.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Tartine oeuf brouillée Saumon frais,DT 18.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Tartine Avocat Tomates Mozzarella,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Tartine avocat saumon frais,DT 22.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes,DT 10.000 - DT 12.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio Pancakes Caramel Beurre Salée,DT 13.000 - DT 16.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes Nutella,DT 14.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes Nutella amande effilée,DT 15.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de pancakes KINDER BUENO,DT 16.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes Nutella KINDER,DT 16.000 - DT 16.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes Nutella Speculoos,DT 16.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Trio de Pancakes Nutella Banane,DT 18.000,https://images.unsplash.com/photo-1528207776546-365bb710ee93?q=80&w=1200&auto=format&fit=crop
Gaufre Sucre,DT 10.000 - DT 12.000,https://images.unsplash.com/photo-1573821663912-569901278f1b?q=80&w=1200&auto=format&fit=crop
Gaufre Nutella,DT 15.000,https://images.unsplash.com/photo-1573821663912-569901278f1b?q=80&w=1200&auto=format&fit=crop
Gaufre Nutella Boule de Glace,DT 18.000,https://images.unsplash.com/photo-1573821663912-569901278f1b?q=80&w=1200&auto=format&fit=crop
Pain perdu Miel ou Sirop d'érable,DT 14.000 - DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pain Perdu Caramel beurre salée,DT 13.000 - DT 16.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pain Perdu Nutella,DT 15.000 - DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pain Perdu Fruits de saison,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pain Perdu DUBAI,DT 17.000 - DT 20.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
PAIN AU CHOCOLAT,DT 3.500,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
CROISSANT,DT 3.000,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
Croissant Nutella,DT 8.000,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
Croissant fourré à la Pistache & Nutella,DT 9.000,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
Pain au Chocolat Nutella Pistache,DT 9.500,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
Croissant nutella Banane,DT 9.500,https://images.unsplash.com/photo-1555507036-ab1f4038808a?q=80&w=1200&auto=format&fit=crop
Cheesecake Framboise,DT 16.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
Cheesecake Speculoos,DT 16.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
Cheesecake Pistache,DT 17.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
FONDANT AU CHOCOLAT (maison),DT 15.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
Fondant Kinder (maison) avec boule de GLACE,DT 16.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
FONDANT À LA PISTACHE (maison),DT 17.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
TIRAMISU CLASSIQUE,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
TIRAMISU NUTELLA DUBAÏ,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
TIRAMISU NUTELLA DUBAÏ,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
ASSIETTE DE FRUITS FRAIS,DT 27.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Macarons,DT 3.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
LE ROCHER,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pistachio Ruby,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
DOME CHOCOLAT BLANC PISTACHE,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
FORÊT NOIRE,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
TARTE SPECULOOS,DT 18.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
TARTE MYRTILLES,DT 16.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
TARTE PISTACHE,DT 18.000,https://images.unsplash.com/photo-1533134242443-d4fd215305ad?q=80&w=1200&auto=format&fit=crop
PATISSERIE DU JOUR,DT 16.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Assiette Énergie,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Délices Matinal,DT 23.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Assiette Brunch Nordique,DT 28.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
OMELETTE NATURE,DT 7.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
OEUF AU PLAT,DT 7.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
2 Oeuf à la Coque,DT 8.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
OEUF BROUILLÉE,DT 7.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
Omelette Fromage,DT 10.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
OMELETTE JAMBON FROMAGE,DT 12.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
OMELETTE THON FROMAGE,DT 14.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
OMELETTE CHAMPIGNONS,DT 15.000,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1200&auto=format&fit=crop
FRESH LEMON MINT,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Orange,DT 10.000,https://images.unsplash.com/photo-1613478223719-2ab802602423?q=80&w=1200&auto=format&fit=crop
Citronnade,DT 9.000,https://images.unsplash.com/photo-1613478223719-2ab802602423?q=80&w=1200&auto=format&fit=crop
Fraise,DT 9.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Ananas Goyave Kiwi,DT 10.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
CITRONNADE MENTHE,DT 10.000,https://images.unsplash.com/photo-1613478223719-2ab802602423?q=80&w=1200&auto=format&fit=crop
Citronnade Fraise,DT 10.000,https://images.unsplash.com/photo-1613478223719-2ab802602423?q=80&w=1200&auto=format&fit=crop
Fraise Banane,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Chocolat au lait,DT 8.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Chocolat Chaud Classique,DT 10.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Iced Chocolat,DT 11.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Chocolat chaud & MARSHMALLOW,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
LATTE INSTAGRAMMABLE DIOR,DT 15.000,https://images.unsplash.com/photo-1541167760496-162955ed8a9f?q=80&w=1200&auto=format&fit=crop
CHOCOLAT CHAUD OU FROID Instagrammable,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
GOURMAND INSTAGRAMMABLE,DT 21.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
THÉ GOURMAND INSTAGRAMMABLE,DT 25.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
L'expérience INSTA 2 PERS,DT 35.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
